,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 63
0,Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,11.5331525756196,7.56149307183898,5.87933142225298,-0.70635721455241,10.1818181818181,2.86028602860271,6.95187165775404,11.1999999990001,5.47062350162302,2.20974847251321,3.95550921099771,3.67461430575034,6.51154401154364,31.4860287891619,62.8360756029239,7.97674602546867,4.49401164707214,8.1072555205041,10.3556722757192,19.7197167787999,47.2416501018426,32.1336011133424,123.535718565329,275.586283560362,1281.34994174486,11749.6396321439,276.335967563202,14.5786984489191,16.0020910549391,15.1734681125731,17.118774604824,21.447069817114,12.060323601829,8.52787695688004,7.87404421467432,10.1932067630746,12.4254866180049,4.70844436028193,7.67322895675084,2.15951626835596,4.60822998872598,1.58965377879568,0.928258851611061,3.33727499671533,4.43738080101724,5.39323106890664,4.28239604802565,8.70560923578869,14.0068107702519,3.34645420142012,2.5032760584424,9.88446419823887,4.51560291399368,5.73640023719613,5.7666007457914,4.05961041135646,3.62321431764138,2.8227580554717,,
2,Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,101.725072957927,100.54335919485,135.027515587167,192.122003282843,225.989958958808,147.142682584513,228.33625786393,629.113193358666,1430.72506961027,2947.73306959317,432.786663523354,951.962053052818,1927.38079016026,2075.88839757325,66.0070335542481,15.7576656002606,6.92671251629151,3.19507629280056,4.85844749902668,7.04414105947266,6.84035902487525,8.4501643770833,14.7149197228147,6.59718509985962,6.86953720898965,4.18356812896902,3.64127299102654,5.67859390284171,4.88803479876804,5.03872690108066,6.63636935253204,5.40355339056006,6.20433594839825,6.32915222712776,9.0298071857749,8.73912829959879,3.44636783234738,,
3,Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,20.0522312040536,77.7957404755205,352.810986573029,504.738541215978,374.735274232635,211.924302225904,91.9541325565105,40.0872246313854,33.3892190102252,35.1383405330485,19.6868327084319,9.94102693041837,27.2571946726204,19.8602056602626,30.7034989096151,19.4768379232582,19.8808457201905,14.6843512500821,17.0279367308961,26.0364811362365,21.7844124277757,15.4258064688927,12.7277669490964,11.4431196444973,8.23263034116112,7.35911781788773,6.13386464357923,5.11024954517563,3.33687917526016,3.8432729570657,3.56910053001465,2.48939816650703,2.81017875743615,1.05473871403516,3.05257621387848,3.39201733699404,4.40779938398046,8.7162687303961,0.353045178360941,1.41071107954318,3.34121694259299,3.00744840213049,1.78955553984587,4.71867527854671,4.3487735321705,3.78619355893115,2.18271846868523,,
4,Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.81407628204985,8.28319045648719,4.69709395062471,26.3554355250466,17.0724352164554,7.59068366931587,16.7281682748598,8.32819136425945,7.44753878317767,6.98166307955372,6.90862275848248,12.0567375886525,12.0253164556962,22.5988700564972,22.5806451612903,25.187969924812,18.9189189189189,34.0909090909091,17.5141242937853,24.1987179487179,26.5806451612903,27.5229357798165,24.7002398081535,19.4871794871795,16.362660944206,23.9741816505302,18.8545927854221,23.3103879849812,28.1400659731033,25.8613861386139,29.137822529893,30.348440545809,27.0305636040751,22.4413214627327,22.8471846643832,20.8971286014773,20.7970867893992,18.4625690839056,18.6812565385812,10.8733978176967,9.22257080235504,7.96970293133976,6.35192507425155,7.1307416862268,5.90126181451809,5.05142028722872,4.29245011787705,5.54514128187459,6.99855040288351,4.2010447688327,2.27118326422564,3.41758959146978,3.16732560328694,2.01809847891195,2.89781874427855,4.99023427513779,7.51429322788323,4.3121410323773,,
5,Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.67659912611287,3.98562050634917,2.8708853146098,5.93950905922401,4.03420453764312,3.0690706617574,5.45372692773339,3.81813815731006,4.31765612971037,6.32668144851304,5.1299874877938,8.38402539015844,7.88189360668076,13.0117620450221,23.3213542652818,15.3629856851263,10.6713937513738,13.0140551797556,11.6500726357789,10.2662562280033,13.0489840555974,16.3874745418229,16.2579695928846,48.4338747103122,31.2302390849475,27.98321602596,23.0302261143747,29.503997249272,58.2162865411676,75.6481901022001,48.5191129964557,48.8038277511962,54.3408360128618,44.9999999999999,27.4425287356321,22.8861330326945,24.3730886850156,30.6429800835987,36.0984331623782,52.2423509075189,96.0941136930836,37.6780209421416,12.4840185721018,7.92941000523413,2.74218132941644,2.4077697831569,3.29874846258218,2.2761847800212,8.40009593987462,5.15996829181046,3.55437734567846,4.47453265795836,5.1017218095867,2.72177577710365,3.58922016616669,3.96664623255354,1.72826463324535,0.417335588666803,,
6,Guyana,GUY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2105263157894,7.09471197276044,3.55567090578809,4.58646616541351,7.53821939851396,6.1485433302487,2.62741314203333,5.34101521377409,5.98097814066471,4.66846622369883,6.92554303890158,6.67715790410027,12.2001544446648,8.10202206969277,2.95230096380997,3.73337757704245,4.97773563706971,2.39193521312329,1.90125181860585,0.852630497539925,-1.00173432776379,0.836008061506297,1.90465615515582,,
7,Paraguay,PRY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.18181818181803,18.4873949579832,1.41843971631209,2.09790209790212,1.36986301369863,3.8592981578052,2.87319422160325,1.36526759221905,0.708073577854406,2.24684753574713,-0.859556021006882,4.95325693640983,9.18037497303687,12.7968945326021,25.2333177791075,6.69306008366745,4.47461474664498,9.35985291662837,10.6602475929182,28.1610386024436,22.4473301362176,12.9746974698193,5.12006543713196,13.433755563163,20.3114625460255,25.2107164358818,31.7425972672999,21.8102740350983,22.5942571785268,26.4221267235586,37.2599561799201,24.2253521126763,15.1927437641721,18.2086614173227,20.5661948376355,13.4254143646407,9.79968339016077,6.9495660853412,11.5532684355839,6.75226586102725,8.98215976750021,7.26806028584826,10.5102420856612,14.2367970499143,4.32326492967493,6.80738203116369,9.59130884635285,8.1287764350453,10.1545446607876,2.59194673430563,4.65116279069769,8.25396825396827,3.67591897974491,2.68385738718591,5.0288276745676,3.12900274473923,4.08682280577243,3.60247741348939,,
8,Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.66445916271907,5.91670898836378,6.64109326359749,6.07014388428593,9.79228486663485,16.3899613894424,8.84060374922205,9.78360256063415,19.086618545438,6.23615806078062,5.02523590072424,6.79063936495416,7.21972216770544,9.48905109503397,16.8916666665702,23.6187352963326,33.4832756634567,38.0540914196793,57.8487826251505,66.6944229664877,59.1450712444914,75.4332687576064,64.4481585387929,111.150635209158,110.208519562543,163.399505243688,77.9210255473595,85.8223062381846,667.019328585961,3398.67901005332,7481.66361124526,409.530166622023,73.5282942442641,48.5799864468884,23.7369050565046,11.1287029707088,11.5379424115177,8.56218948953654,7.24782175213469,3.46965996293021,3.75733833344472,1.97709878502054,0.193135003853741,2.25937753363073,3.66247320092233,1.61630193862543,2.00225801248819,1.77998644680372,5.78587598206755,2.93623153596701,1.52832059732903,3.36931095333853,3.65570906781008,2.80671650937615,3.24496304244158,3.54928804947929,3.59211324147449,2.80283916977831,,
9,Suriname,SUR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.85714285714286,1.70940170940174,2.10084033613441,2.05761316872427,4.23387096774195,1.93423597678913,4.74383301707784,10.6884057971015,0.163666121112915,11.274509803922,2.58804258797289,0.215551652643485,3.23428662488593,12.9408133340937,16.8761956821096,8.44732842274657,10.0695380302795,9.73113276853737,8.82352941179669,14.8423081655328,14.1097064496918,8.79396984924603,7.27640861779857,4.4118080745527,3.68874452760908,10.8659529841193,18.6879606879604,53.3929532563243,7.31328780803812,0.76964674220603,21.7399443397526,25.9674625060222,43.6661783854171,143.51155848349,368.478068706267,235.558815073605,-0.701887251452844,7.14511160883933,18.9753691994478,98.7730914112164,59.4016865450789,38.5862878872611,15.5273989185702,23.0022321778219,9.98632511974878,9.89800489561464,11.2813043273975,6.4262793447052,14.667142743791,-0.162987836502084,6.94478729531772,17.7117796414557,5.0068631936728,1.92343604108309,3.38341272749481,6.86759924385635,55.484437751004,22.0195334570991,,
10,Uruguay,URY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,38.5040374002647,22.7472639867959,10.9074243811898,21.2546957175585,42.3694157015187,56.5565565566606,73.4626932061085,89.275297285038,125.336991126492,20.9666666659999,16.3061449435997,23.9530889061731,76.4849237828813,96.9972653187057,77.213413779201,81.4053840067419,50.6230495604619,58.1961750215737,44.5483436672392,66.8442861850437,63.4758304314673,34.0453358609474,18.9925012952182,49.1973796505638,55.3044235418763,72.2225644287757,76.3806364119544,63.5666624326724,62.1919564596004,80.4474367280735,112.525905573023,101.971683202507,68.4591938395374,54.1007924425194,44.7360421521933,42.2483197983755,28.3420486004309,19.8188093183778,10.8110703055616,5.65868803927908,4.76382472733248,4.35934065217274,13.9724725913516,19.3797301743994,9.15760507540996,4.6992773903564,6.39764974385121,8.11464561179318,7.87707374730889,7.06221874388572,6.69870886978135,8.09283206302989,8.09776580573602,8.57513504005394,8.87735333229828,8.66626987079337,9.63941347635073,6.21809382561863,,
11,"Venezuela, RB",VEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0809414466131,28.1874647092039,26.0902123160955,21.0689956331878,40.6394275161588,62.168649979483,121.738085297504,254.948534781815,,,
